[2020-05-09T08:31:54.725] [ERROR] default - Failed to read the tutorial data. Data to be loaded "tutorial_03.json"
[2020-05-09T08:52:34.414] [ERROR] default - The format of the tutorial data is incorrect. Data to be loaded "stage_data.json"
[2020-05-09T08:53:49.561] [ERROR] default - The format of the tutorial data is incorrect. Data to be loaded "stage_data.json"
[2020-05-09T08:56:05.028] [ERROR] default - The format of the tutorial data is incorrect. Data to be loaded "stage_data.json"
[2020-05-09T08:56:09.290] [ERROR] default - The format of the tutorial data is incorrect. Data to be loaded "stage_data.json"
[2020-05-21T12:28:55.695] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "11.json"
[2020-05-21T12:28:55.697] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_01.json"
[2020-05-21T12:28:55.699] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_02.json"
[2020-05-21T12:28:55.699] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_03.json"
[2020-05-21T12:28:55.699] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_04.json"
[2020-05-21T12:28:55.700] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_11.json"
[2020-05-21T12:28:55.700] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_12.json"
[2020-05-21T12:28:55.700] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "game_server_13.json"
[2020-05-21T12:28:55.700] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:30:59.297] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:33:34.092] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:34:40.560] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:34:42.920] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:35:22.809] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:36:25.656] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
[2020-05-21T12:36:28.407] [ERROR] default - The format of the game server data is incorrect. Data to be loaded "server_data.json"
